site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/4/21,RH,63,64,66,68,69,69,67,62,54,49,45,43,41,44,51,57,63,70,78,80,81,82,83,84
古亭,2021/4/22,RH,85,85,86,86,86,86,85,77,68,63,60,61,57,57,58,57,57,60,64,66,73,74,75,76
古亭,2021/4/23,RH,79,79,77,77,78,81,81,82,81,75,71,72,74,67,62,59,59,66,74,75,77,79,80,82
古亭,2021/4/24,RH,83,83,83,84,84,81,80,76,72,65,58,56,55,55,57,58,61,64,68,74,75,74,73,74
古亭,2021/4/25,RH,74,75,74,73,71,70,69,67,68,71,68,63,60,62,65,70,74,77,76,79,77,74,72,70
古亭,2021/4/26,RH,70,69,72,68,68,68,68,65,63,63,65,58,48,46,46,46,47,52,56,55,54,55,54,52
古亭,2021/4/27,RH,53,56,56,57,58,58,59,56,54,49,50,49,53,76,82,87,85,84,83,83,83,83,82,82
古亭,2021/4/28,RH,82,82,82,82,82,85,86,88,90,90,89,87,85,86,87,88,90,90,91,90,90,90,89,90
古亭,2021/4/29,RH,91,91,92,92,93,92,91,90,90,91,90,86,86,82,80,77,67,67,74,78,80,83,83,81
古亭,2021/4/30,RH,79,80,78,78,78,80,77,69,59,54,48,35,35,42,50,51,51,52,58,65,69,71,74,75
古亭,2021/5/1,RH,76,78,77,76,74,76,75,69,62,53,44,39,40,49,49,50,49,52,59,63,68,73,76,79
古亭,2021/5/2,RH,83,78,71,74,77,76,73,68,66,63,51,42,42,50,55,63,67,71,72,69,70,72,72,71
古亭,2021/5/3,RH,70,70,69,67,67,65,65,64,63,62,64,61,59,57,60,62,63,65,71,73,72,73,74,76
古亭,2021/5/4,RH,76,72,71,73,74,74,75,72,69,63,55,50,44,47,51,53,57,59,62,64,67,70,72,74
古亭,2021/5/5,RH,76,76,78,79,79,79,78,76,83,86,81,79,79,75,72,71,70,72,75,74,77,78,80,83
古亭,2021/5/6,RH,85,86,87,87,87,87,86,83,80,76,72,67,64,63,62,64,66,72,77,79,79,80,81,82
古亭,2021/5/7,RH,83,84,85,85,85,85,83,77,67,58,55,54,54,56,58,56,59,58,61,66,72,71,72,72
古亭,2021/5/8,RH,75,78,79,78,80,80,79,79,72,65,61,68,68,68,76,82,80,78,77,76,77,77,78,81
古亭,2021/5/9,RH,82,82,82,83,83,83,82,78,70,66,62,57,55,54,56,60,63,66,69,70,72,76,75,75
古亭,2021/5/10,RH,75,74,75,76,80,79,76,70,63,55,56,59,60,59,61,62,62,67,69,71,73,74,74,76
古亭,2021/5/11,RH,79,81,81,81,80,79,79,76,67,60,48,41,40,48,55,58,60,64,67,68,70,72,72,75
古亭,2021/5/12,RH,76,76,76,77,78,79,78,71,52,41,38,37,38,47,49,52,57,62,65,72,70,70,71,74
古亭,2021/5/13,RH,74,75,76,78,78,78,76,70,61,54,53,53,53,50,53,55,56,61,63,65,67,69,70,72
古亭,2021/5/14,RH,73,74,75,77,76,78,77,72,66,61,58,58,57,59,59,61,64,67,70,70,70,72,76,77
古亭,2021/5/15,RH,77,77,78,79,80,80,79,77,71,60,50,49,52,57,61,61,62,64,66,68,70,73,74,76
古亭,2021/5/16,RH,77,77,79,78,78,79,79,74,67,57,46,43,50,53,53,49,55,60,64,66,68,71,72,72
古亭,2021/5/17,RH,74,75,75,77,77,79,77,69,51,48,48,48,49,57,57,56,59,63,65,66,66,68,72,72
古亭,2021/5/18,RH,74,75,75,74,75,74,76,74,69,65,62,60,63,65,67,70,72,71,74,77,77,77,78,79
古亭,2021/5/19,RH,80,80,80,82,82,81,77,74,69,61,57,51,53,69,85,87,86,81,80,81,84,84,84,85
古亭,2021/5/20,RH,85,84,83,84,84,84,84,81,73,62,52,46,52,62,62,60,47,49,52,54,65,71,69,71
古亭,2021/5/21,RH,72,73,74,76,79,78,77,70,60,48,44,51,48,45,49,55,63,63,75,82,83,80,79,81
古亭,2021/5/22,RH,83,83,82,82,83,82,80,78,70,57,51,50,58,51,51,67,68,69,70,71,72,73,76,78
古亭,2021/5/23,RH,78,79,80,79,80,80,77,72,67,62,54,47,48,57,59,64,65,64,66,69,73,75,77,77
古亭,2021/5/24,RH,78,79,79,77,78,80,78,72,63,52,53,59,60,67,78,87,88,88,87,85,84,84,83,82
