site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/7/1,PM2.5,14,12,11,8,13,12,11,10,9,7,10,9,9,10,15,14,11,12,12,11,11,10,14,14
古亭,2021/7/2,PM2.5,12,11,13,10,11,10,10,9,7,11,12,9,16,18,13,13,12,12,13,11,7,9,10,8
古亭,2021/7/3,PM2.5,7,14,9,7,8,8,7,10,15,18,16,15,18,20,19,16,16,12,13,16,12,14,15,14
古亭,2021/7/4,PM2.5,15,17,14,11,14,17,17,15,13,13,15,16,18,16,19,18,17,7,10,15,10,10,8,5
古亭,2021/7/5,PM2.5,10,6,2,1,0,3,7,7,6,3,0,4,11,8,4,2,1,2,2,5,7,5,1,0
古亭,2021/7/6,PM2.5,2,2,1,1,2,0,1,2,2,3,1,2,13,21,20,12,13,18,17,15,15,16,11,9
古亭,2021/7/7,PM2.5,16,6,7,9,8,7,8,11,11,10,15,16,17,18,15,15,21,21,15,15,14,31,25,19
古亭,2021/7/8,PM2.5,19,7,11,15,13,16,16,17,17,11,12,14,17,13,11,10,10,6,6,9,9,9,11,9
古亭,2021/7/9,PM2.5,6,9,11,10,11,9,10,16,12,14,11,7,11,13,10,11,15,17,12,10,14,13,12,11
古亭,2021/7/10,PM2.5,11,12,13,11,11,11,9,14,14,14,19,20,6,22,25,23,21,9,8,9,7,11,9,10
古亭,2021/7/11,PM2.5,15,13,10,9,8,4,4,6,10,12,11,10,14,10,6,5,8,7,5,9,8,8,8,7
古亭,2021/7/12,PM2.5,17,8,13,12,7,10,8,8,9,10,15,16,16,18,20,13,12,11,14,16,14,15,11,5
古亭,2021/7/13,PM2.5,4,7,6,8,10,10,14,19,16,16,13,10,16,14,17,11,9,6,7,7,4,8,5,5
古亭,2021/7/14,PM2.5,9,6,5,8,7,12,10,11,7,8,10,11,9,8,9,5,0,1,2,1,0,0,0,1
古亭,2021/7/15,PM2.5,2,1,0,0,0,4,6,4,3,1,1,2,0,0,0,0,1,5,3,3,1,0,2,3
古亭,2021/7/16,PM2.5,2,2,1,0,0,0,1,1,2,0,0,0,1,0,0,2,2,4,4,2,3,3,4,3
古亭,2021/7/17,PM2.5,10,5,2,2,0,0,3,3,2,0,0,2,3,3,1,3,4,4,5,3,4,7,5,4
古亭,2021/7/18,PM2.5,0,0,4,4,4,5,5,3,2,0,0,2,1,2,4,3,1,1,1,3,5,3,1,1
古亭,2021/7/19,PM2.5,2,2,1,1,2,4,4,5,4,2,1,0,0,4,6,3,0,2,3,4,6,4,6,5
古亭,2021/7/20,PM2.5,14,8,5,4,2,1,4,4,4,1,1,3,4,5,7,9,6,10,7,7,9,8,7,6
古亭,2021/7/21,PM2.5,9,6,1,2,4,5,9,8,11,9,12,10,13,16,5,6,7,6,7,10,6,1,0,2
古亭,2021/7/22,PM2.5,6,4,5,3,0,2,6,6,6,6,6,6,5,7,6,5,3,2,5,7,6,4,5,6
古亭,2021/7/23,PM2.5,7,6,3,0,4,4,4,6,7,7,8,7,7,7,8,8,7,6,5,3,3,3,4,4
古亭,2021/7/24,PM2.5,5,6,5,5,5,3,1,2,2,0,0,4,3,6,5,4,4,3,6,4,3,3,5,7
古亭,2021/7/25,PM2.5,18,12,14,10,6,7,6,7,6,3,1,2,2,7,6,9,8,16,16,17,17,14,14,13
古亭,2021/7/26,PM2.5,11,8,7,7,6,6,6,8,7,6,10,9,8,8,11,11,11,10,6,5,8,8,9,6
古亭,2021/7/27,PM2.5,7,6,10,8,9,10,10,9,7,7,11,11,8,15,15,20,25,17,14,12,18,11,12,11
古亭,2021/7/28,PM2.5,25,15,11,16,20,17,14,19,17,17,11,12,24,24,18,13,16,16,20,18,2,11,13,13
古亭,2021/7/29,PM2.5,12,11,12,13,12,17,13,14,10,19,16,19,16,20,12,15,15,13,13,15,15,18,15,8
古亭,2021/7/30,PM2.5,12,12,9,12,11,10,8,10,10,15,11,9,8,11,12,13,15,11,15,11,8,9,7,8
古亭,2021/7/31,PM2.5,7,9,7,5,4,7,8,5,10,10,11,9,10,8,4,2,2,1,3,4,6,6,3,4
